name,popularity,phonetic,gender,meaning,root
سمن اندام, ,,female,سمن پیکر,فارسی
سمن بر,9765,,female,آن که اندامی سفید و لطیف چون سمن دارد,فارسی
سمن پیکر, ,,female,آن که اندامی سفید و لطف چون سمن دارد,فارسی
سمن چهر,101,,female,سمن چهره,فارسی
سمن چهره, ,,female,آن که چهره ای سفید و لطیف چون سمن دارد,فارسی
سمن دیس, ,,female,مانند سمن، مانند یاسمن,فارسی
سمن رخ,883,,female,سمن چهره,فارسی
سمن رو,101,,female,سمن چهره,فارسی
سمن سیما, ,,female,سمن(فارسی) + سیما(عربی)، سمن چهره,فارسی
سمن گل, ,,female,گل یاسمن,فارسی
سمن ناز,564,,female,مرکب از سمن( یاسمن) + ناز(زیبا),فارسی
سمک, ,,male,ماهی، نام قهرمان داستان سمک عیار,عربی
سمیح,101,somayye,male,بخشنده ، بلندنظر ، کریم,عربی
سمیر,6956,samir,male,قصه گو,عربی
سمیرا,223396,samirā,female,هم صحبت شبانه,عربی
سمیع,2055,samie,male,شنوا، از نامهای خداوند,عربی
سمین, ,,female,چاق،فربه ، ارزشمند و عالی معمولاً در مورد سخن و شعر گفته می شود,عربی
سمینه, ,samine,female,مؤنث سمین، چاق،فربه,عربی
سمیه,475409,somayye,female,صدای خوش - اوازی که در آن خیر باشد- نام مادر عمار یاسر که از اصحاب پیامبر(ص) بود,عربی
سنا,27395,sanā,both,روشنایی نور بلندی رفعت,عربی
سنباد,101,sanbād,male,از شخصیتهای شاهنامه، نام یکی از بزرگان ایرانی در زمان خسروپرویز پادشاه ساسانی و از سرداران سپاه بهرام چوبینه,فارسی
سنبل,1021,sonbol,female,گل خوشه ای بلند، به هم فشرده، و معطر به رنگهای قرمز، آبی، سفید، و زرد,فارسی
سنجر,889,sanjar,male,نام یکی از پادشاهان سلجوقی,ترکی
سندس,706,sondos,female,به فتح سین و دال ، پارچه ای ابریشمی و لطیف ، در قرآن آمده است که لباس ابرار از جنس سندس ساخته شده است.,عربی
سها,5772,sohā,female,نام کوچکترین ستاره ی دب اصغر که در قدیم چشم پزشکان از آن برای آزمون صحت بینایی استفاده می کرددند,عربی
سهام,406,,male,سهم ها، بهره ها,عربی
سهام الدین,188,,male,بهره ها و نصیبهای دین,عربی
سهراب,64090,sohrāb,male,گلگون، شاداب ، از شخصیتهای شاهنامه، نام پسر رستم پهلوان شاهنامه و تهمینه,فارسی
سهند,10749,sahand,male,نام کوهی آتشفشانی در آذربایجان,فارسی
سهی,303,sohi,female,صفت سرو، راست، از شخصیتهای شاهنامه، نام همسر ایرج پسر فریدون پادشاه پیشدادی,فارسی
سهیل,77191,soheyl,male,روشنترین ستاره صورت فلکی سفینه,عربی
سهیلا,174055,soheylā,female,نرم و ملایم,عربی
سوتیام,184,sutiyām,female,نور چشمانم مرکب از سو به معنای نور و روشنایی و تیام به معنای دو چشم است,لری
سودا,21505,so(w)dā,female,عشق، سودا,ترکی
سودابه,57523,sudābe,female,از شخصیتهای شاهنامه، نام شاه هاماوران و همسر کیکاووس پادشاه کیانی,فارسی
سوده,7129,sude,female,نام شهری در نزدیکی بغداد,عربی
سوران,4920,surān,male,منطقه ای وسیع در کردستان ، یکی از چهار گویش اصلی زبان کردی ، جمع سور به معنی شادی,کردی
سورن,1906,suren,male,نام یکی از خاندانهای هفتگانه ممتاز در زمان اشکانیان,فارسی
سورنا,8082,su(o)r(e)nā,male,نام سردار ایرانی در زمان اشکانیان,فارسی
سوره,3265,sure,female,هریک از بخش های صدو چهاردهگانه قرآن که شامل چند آیه است.,عربی
سوری,3244,suri,female,گل سرخ,فارسی
سوریا,269,suriyā,female,ثریا,آشوری
سورین,424,surin,male,توانا، دلیر,فارسی
سوزان,5333,suzān,female,سوزاننده,فارسی
سوژا,163,sužā,female,گیاه سویا,هلندی
سوسن,58065,susan,female,گلی درشت و خوشه ای به رنگها و شکلهای مختلف,فارسی
سوشیانت,897,sušiyant,male,سوشیانس،نجات دهنده ، هر یک از موعدان دین زرتشتی که در آخرالزمان ظهور می کنند,اوستایی-پهلوی
سوشیانس,139,sušiyans,male,سوشیانت،نجات دهنده ، هر یک از موعدان دین زرتشتی که در آخرالزمان ظهور می کنند,اوستایی-پهلوی
سوفی, ,sufi,female,حکیم,یونانی
سوفیا,4736,sufiyā,female,سوفیه نام پایتخت بلغارستان,فارسی
سوگل,14123,so(w)gol,female,سوگلی,ترکی
سوگند,50618,so(w)gand,female,قسم,فارسی
سوما,6190,sumā,male,در گویش مازندران نهر آب,فارسی
سونا,6189,sonā,female,زیبای آبها,ترکی
سونای,915,sonāy,female,زیبا روی ، ماه شب چهارده ،قویی که پرهای سرش سبزرنگ بوده تعلق به ماه داشته باشد,ترکی
سونیا,30606,suniyā,female,دختر نور، دختری که در اجتماع رتبه بالایی داشته باشد,عربی
سویل,3836,sevil,female,دوست داشته شده,ترکی
سوین,10187,se(o)vin,female,عشق ، محبت ، علاقه شدید,ترکی
سکینه,730490,sakine,female,آرامش، آهستگی، نام دختر امام حسین(ع),عربی
سیامک,37410,siyāmak,male,آن که موهایش سیاه است، از شخصیتهای شاهنامه، نام پسر کیومرث پادشاه پیشدادی,فارسی
سیاوش,46804,siyāvo(a)š,male,دارنده اسب سیاه ، از شخصیتهای شاهنامه، نام پسر کیکاووس پادشاه ایران و پدر کیخسرو پادشاه کیانی,فارسی
سیاووش,224,siyāvuš,male,سیاوش,فارسی
سیبویه,101,sibuye,male,سیب کوچک یا بوی سیب، نام دانشمند نحوی نامدار در قرن دوم که در شیراز می‌زیسته است,فارسی
سیحون,101,,male,از رودهای معروف در شمال ایران قدیم که به دریاچه آرال می ریزد ، این رود اکنون در قرقیزستان و قزاقستان جاریست.,فارسی
سیرانوش,929,sirānuš,female,نام دیگر شیرین همسر خسروپرویز پادشاه ساسانی,فارسی
سیروان,10425,sirvān,male,عربی ساربان، نام رودی در غرب ایران که از استانهای کردستان و کرمانشاه می گذرد,کردی
سیروس,46681,sirus,male,شکل فرانسوی کوروش،کوروش,فرانسه
سیف الدین,2742,,male,آن که به منزله شمشیر دین است و دشمنان دین را نابود می کند,عربی
سیف الله,61845,,male,آن که به منزله شمشیر خدا است و در راه خداوند مبارزه می کند,عربی
سیم تن,101,simtan,female,آن که بدنی سفید چون نقره دارد ، نام یکی از همسران بهرام گور پادشاه ساسانی,فارسی
سیما,88035,simā,female,چهره، صورت,عربی
سیمین,38414,simin,female,ساخته شده از نقره، نقره ای,فارسی
سیمین تن, ,,female,سیم تن,فارسی
سیمینه,136,simine,female,سیمین,فارسی
سینا,122532,sinā,male,دانشمند ، باهوش و سیاستمدار و در زبان عبری به معنی مبارک ،صفت مشبه از سنبیدن، سوراخ کننده،نام شبه جزیره ای کوهستانی در شمال شرقی مصر که حضرت موسی(ع) به پیامبری برگزیده شد و الواح دهگانه را خداوند به او نازل کرد، نام جد ابن سینا پزشک و دانشمند نامدار ایرانی,فارسی-عبری
سیندخت,139,sin doxt,female,از شخصیتهای شاهنامه، نام همسر مهراب کابلی و مادر رودابه,فارسی
شاپور,13392,šāpur,male,شاه پور، پسر شاه، شاهزاده، از شخصیتهای شاهنامه، نام دلاوری گرانمایه و بارسالار فریدون پادشاه پیشدادی، همچنین نام چندتن از پادشاهان و پهلوانان ایرانی در شاهنامه,فارسی
شاخسار, ,,female,محل انبوهی شاخه های درخت,فارسی
شاداب,958,šādāb,female,با طراوت، تازه,فارسی
شادان,1425,šādān,both,شاد و خرم، از شخصیتهای شاهنامه، نام پسر برزین از مردم توس و نام یکی از راویان شاهنامه,فارسی
شادرو,101,šād ru,female,شادرخ,فارسی
شادروز,101,šād ruz,female,نیکروز، خوشبخت,فارسی
شادفر,101,šād far,female,آن که دارای شکوه و شادی است,فارسی
شادلین,547,šādlin,female,نرمی و ملایمت ، شاد روی نرمخو، آرام و خوش چهره ، مرکب از شاد بعلاوه لین,فارسی
شادمان,2069,šād(e)mān,male,خوشحال، مسرور، نام برادر شیرویه، پسر خسروپرویز پادشاه ساسانی,فارسی
شادمانه,101,šād(e)māne,female,خشنود، شاد,فارسی
شادمهر,3148,šād mehr,both,مرکب از شاد(خوشحال) + مهر( محبت یا خورشید) ،نام شهر یا مکانی در نیشابور,فارسی
شادن,473,šāden,male,بچه آهو - بچه آهویی که کمی بزرگ شده و بی نیاز از مادراست - زیبا و لطیف مانند بچه آهو,عربی
شادناز,101,šād nāz,female,مرکب از شاد(خوشحال) + مهر( محبت یا خورشید) ،نام شهر یا مکانی در نیشابور,فارسی
شادنوش,101,šād nuš,female,نوشنده شادی، شاد و خوشحال,فارسی
شادی,41094,šādi,female,خوشحال، شادمانی,فارسی
شادیا,336,šādiyā,female,بانوی شاد ، دختر شاد و سرخش ، منسوب به شادی,فارسی
شادیان,101,šādiyān,female,از روی شادی ، بر اساس شادی ، آهنگ و نوای شادی آور,فارسی
شادیانه,101,šādiyāne,female,از روی شادی ، بر اساس شادی ، آهنگ و نوای شادی آور,فارسی
شار, ,,male,عنوان عمومی پادشاهان غرجستان (ناحیه ای در عربستان کنونی),عربی
شارمین,295,šārmin,female,خجسته فرخنده,سنسکریت
شارک, ,,female,سار(پرنده),فارسی
شارین,160,šārin,female,متمدن ، شهرنشین ، مرکب از شار به معنای شهر + ین (پسوند نسبت ) ، نام دهی در قزوین,فارسی
شارینا,209,šārinā,female,متمدن ، شهرنشین ، مرکب از شار به معنای شهر + ین (پسوند نسبت ) + الف تانیث,فارسی
شامان,101,šāmān,female,اندازه و پیمانه ، نام دهی در شهر دامغان,هندی
شامل, ,,male,حاوی، دارنده ، کامل ، فراگیرنده ، نام یکی از رهبران مذهبی و سران عشایر قفقاز,عربی
شانا,485,šānā,female,باد ملایم,کردی
شاندیز,101,šāndiz,both,نام روستایی در نزدیکی مشهد,فارسی
شانلی,306,šānli,male,شان(عربی) + لی( ترکی)، پرافتخار، مشهور، شایان تحسین,عربی-ترکی
شاه آذر, ,,female,شاه آتش,فارسی
شاه آفرید, ,,female,آفریده شاه ، نام دختر فیروز پسر یزدگرد پادشاه ساسانی,فارسی
شاه اسپرم, ,,female,شاسپرم,فارسی
شاه بانگ, ,,female,گیاهی با میوه زرد رنگ و معطر,فارسی
شاه برزین, ,,male,نام شخصی در وندیدا (بخشی از اوستا),فارسی
شاه بهرام, ,,male,نام بهرام گور پادشاه ساسانی و همچنین پادشاه کشمیر,فارسی
شاه پر, ,,male,شهپر,فارسی
شاه پرند, ,,female,نام نوه یزگرد پادشاه ساسانی,فارسی
شاه پرک, ,,female,شاپرک,فارسی
شاه پسند, ,,female,گیاهی کاشتنی و زینتی که گلهای رنگارنگ چتری دارد,فارسی
شاه پونه, ,,female,نام نوه یزدگرد پادشاه ساسانی,فارسی
شاه جهان, ,,female,مَلِک و سرور عالم ، نام یکی از مهمترین قله های رشته کوه آلاداغ در شمال خراسان، نام چندتن از پادشاهان مغول هند(تیموریان)، نام پسر جهانگیر پادشاه بابری,فارسی
شاه خاتون, ,,female,بانوی پادشاه،نام دختر قدرخان، پادشاه ترکستان در دوره غزنوی,فارسی
شاه سرور, ,,male,نام پسر شاه سرو پادشاه کشمیر,فارسی
شاه صنم, ,,female,شاه(فارسی) + صنم(عربی) ، شاه زیبارویان، نام همسر فتحعلی شاه قاجار,فارسی-ترکی
شاه فرید, ,,female,شاه آفرید,فارسی
شاه محمد, ,,male,شاه(فارسی) + محمد(عربی) نام نقاش معروف ایرانی در زمان صفویه,فارسی-عربی
شاه مراد, ,,male,شاه (فارسی) + مراد(عربی) مهمترین و بزرگترین آرزو,فارسی-عربی
شاه موبد, ,,male,شوهر ویس در منظومه ویس و رامین,فارسی
شاه ناز, ,,female,نام یکی از لحنهای قدیم موسیقی ایرانی,فارسی
شاه نبات, ,,female,شاه(فارسی) + نبات(عربی) نام همسر فتحعلی شاه قاجار,فارسی-عربی
شاه هژبر, ,,male,شاه(فارسی) + هژبر(از عربی,فارسی-عربی
شاهباز, ,,male,شهباز,فارسی
شاهپور,4797,šāhpur,male,شاپور,فارسی
شاهد,1289,šāhed,male,زیبارو، محبوب، معشوق,عربی
شاهدانه, ,,female,نام گیاهی است که از دانه آن روغن می گیرند,فارسی
شاهدخت, ,,female,شاه دختر دختر شاه,فارسی
شاهرخ,20816,šāh rox,male,آن که چهره ای با هیبت و شکوه چون شاه دارد ، نام پسر امیرتیمور پادشاه تیموری,فارسی
شاهنده,101,šāhande,both,شاینده ، نیکوکار، صالح، لقب بهرام پسر هرمز پادشاه ساسانی,فارسی
شاهیده,101,šāhide,both,پارسا، پرهیزکار، نیکوکار,فارسی
شاهین,43047,šāhin,male,پرنده شکاری,فارسی
شاور,101,šāvor,male,شاپور، شاه پور، پسر شاه، شاهزاده، از شخصیتهای شاهنامه، نام دلاوری گرانمایه و بارسالار فریدون پادشاه پیشدادی، همچنین نام چندتن از پادشاهان و پهلوانان ایرانی در شاهنامه,فارسی
شاوگ,101,šāvag,male,نام پادشاه کوشان در زمان خسروپرویز پادشاه ساسانی,فارسی
شاکر,4323,šāker,male,شکرگزار ، کسی که در حال شکرکردن است،معمولامنظور شکرگزاری در برابر خداوند است,عربی
شایا,421,šāyā,female,شایان,فارسی
شایان,65546,šāyān,male,سزاوار، شایسته، ممکن، مقدور,فارسی
شایسته,17598,šāyeste,female,سزاوار، لایق و درخور,فارسی
شایگان,484,šāy(e)gān,male,مرد بزرگ - شایسته و شایان,فارسی
شاین,101,šāyen,female,بر وزن فاعل ، شاهدانه,کردی
شاینا,2212,šāynā,both,شاهدانه,فارسی
شایورد,101,šāyvard,male,شادورد,فارسی
شب آرا, ,,female,آراینده شب,فارسی
شب افروز, ,,female,ماه ، زیباروی، درخشنده,فارسی
شب بو,1830,,female,گلی معطر و زینتی در رنگهای متفاوت,فارسی
شب پره, ,,female,پروانه ، خفاش,فارسی
شب دخت, ,,female,دختر شب,فارسی
شب ناز, ,,female,زیبایی شب، ناز شب,فارسی
شباب,101,šabāb,both,جوانی,عربی
شبان, ,,male,چوپان، گله بان,فارسی
شباهنگ,295,šabāhang,female,مرغ سحر، بلبل، ستاره ای که پیش از صبح طلوع می کند,فارسی
شباویز,101,šabāviz,male,مرغ حق,فارسی
شبنم,44760,šabnam,female,قطره ای که شب روی برگ گل و گیاه می نشیند، ژاله,فارسی
شبیر,1081,šobayr,male,نام پسر هارون از پیامبران بنی اسرائیل,عبری
شجاع الدین,1192,,male,آن که در دفاع از دین شجاع است,عربی
شجاع الملک, ,,male,آن که در دفاع از کشور شجاع است,عربی
شداد, ,,male,نام فرزند عاد(ع),عبری
شراره,16948,šarāre,female,درخشش، روشنی، جرقه,عربی
شرافت,12533,še(a)rāfat,female,بزرگ منشی، ارزشمندی,عربی
شرف,16087,šaraf,male,بزرگواری، برتری,عربی
شرف الدین,443,,male,موجب آبروی دین و آیین,عربی
شرف الزمان, ,,male,موجب بزرگی عصر و روزگار,عربی
شرمین,4564,šarmin,female,با شرم، با حیا، محجوب,فارسی
شرمین دخت,101,šarmin doxt,female,دختر باحیا و محجوب,فارسی
شرمینه,337,šarmine,female,شرمین,فارسی
شروان,431,šarvān,male,نام سرزمینی در جنوب شرقی قفقاز,فارسی
شروین,10050,šarvin,both,نام یکی از فرزندان ملک کیوس برادر انوشیروان پادشاه ساسانی ، نام یکی از سرداران معاصر شاپور ذوالاکتاف پادشاه ساسانی، نام سلسله جبالی در نزدیکی دیلم و گیلان,فارسی
شریف,14623,šarif,male,ارزشمند، عالی، سید، ارجمند، بزرگوار، نام کوهی در عربستان,عربی
شریفه,33100,šarife,female,مؤنث شریف ، ارزشمند، عالی، سید، ارجمند,عربی
شعری, ,,female,نام ستاره ای,عربی
شعله,9179,šoele,female,زبانه و درخشش آتش، فروغ، روشنی,عربی
شعیا,101,šaeiyā,male,اشعیا ، نام یکی از پیامبران بنی اسرائیل که نسبش به سلیمان نبی می رسد.,فارسی
شعیب,10147,šoeayb,male,توشه دان، نام پدر همسر موسی(ع)، نام کوهی در یمن,عبری
شفا,1448,ša(e)fā,male,بهبود یافتن از بیماری، تندرستی,عربی
شفق,809,šafaq,both,سرخی افق پس از غروب آفتاب,عربی
شفیع,5219,šafie,male,شفاعت کننده، پایمرد,عربی
شفیعه,460,šafiee,female,مؤنث شفیع، شفاعت کننده,عربی
شفیقه,9388,šafiqe,female,مؤنث شفیق،مهربان,عربی
شقایق,47686,šaqāyeq,female,گلی سرخ رنگ با چهار گلبرگ که در قاعده گلبرکگهایش لکه سیاهی هست,عربی
شلیر,3688,šalir,female,به فتح شین ، شلیل ، میوه ای خوشبو گوارا و آبدار شبیه شفتآلو و هلو,کردی
شمایل,4130,šamāyel,female,خوبیها و خصلتهای نیکو و پسندیده، شکل و صورت,عربی
شمس,426,šams,male,خورشید، نام بتی در قدیم، نام سوره ای در قرآن کریم,عربی
شمس الدین,10348,,male,آفتاب دین ، نام دو تن از پادشاهان آل کرت,عربی
شمس الملوک, ,,female,خورشید شاهان ، نام یکی از پادشاهان ایلک خانی ترکستان,عربی
شمس الهدی,101,,male,خورشید هدایت,عربی
شمس ایران, ,,female,شمس(عربی) ایران(فارسی) خورشید ایران,عربی-فارسی
شمسا,180,šamsā,female,شمس(عربی) + ا (فارسی)،منسوب یه خورشید,عربی-فارسی
شمسی,51569,šamsi,female,شمس(عربی) + ی ( فارسی) مرکب از شمس( خورشید) + یای نسبت فارسی,عربی-فارسی
شمشاد,708,šemšād,female,درختی همیشه سبز، شخص خوش قد و قامت,فارسی
شمیرا,101,šomirā,female,نام عمه شیرین در منظومه خسروشیرین,فارسی
شمیس,101,šamis,female,مصغر شمس,عربی
شمیسا,343,šamisā,female,شمسا ، خورشید ، نور و روشنایی در زند و پازند,اوستایی-پهلوی
شمیلا,717,šomilā,female,شمیل(عربی) + ا(فارسی) ، منسوب به شمیل، نسیم و باد شمال,عربی-فارسی
شمیم,5507,šamim,female,بوی خوش,عربی
شمیمه,697,šamime,female,واحد شمیم، یک بوی خوش,عربی
شناسا, ,šenāsā,female,آگاه و مطلع,فارسی
شنتیا,2785,šantiyā,male,فاتح پیروز از القاب حضرت علی,فارسی
شنگل, ,,male,شوخ، از شخصیتهای شاهنامه، نام شاه هند و جزو سپاهیان افراسیاب تورانی,فارسی
شه گل,101,šah gol,female,شاهگل,فارسی
شهاب,36923,ša(e)hāb,both,جاه و جلال، عظمت، بزرگی,عربی
شهاب الدین,6664,,male,آن که چون ستاره روشنی در دین است، نام حکیم معروف قرن ششم، شهاب الدین سهره وردی,عربی
شهباز,11415,šahbāz,male,شاه باز نوعی باز سفید رنگ و شکاری,فارسی
شهبال,101,šahbāl,male,بزرگترین پر پرنده,فارسی
شهپر,1403,šahpar,female,شاه پر ، هر یک از پرهای اصلی بال پرندگان، بال بزرگ، شهبال,فارسی
شهداد,3235,šahdād,male,داده شاه، نام بخشی از شهرستان کرمان، نام رودی در کرمان,فارسی
شهدخت,1483,šah doxt,female,شاهدخت,فارسی
شهراد,3176,šah rād,male,شاه بخشنده,فارسی
شهراز,101,šah rāz,female,راز بزرگ ، راز شکوهمند,فارسی
شهرام,82935,šahrām,male,شاه شاد و خوشحال,فارسی
شهران,101,šahrān,male,از شخصیتهای شاهنامه، نام یکی از خردمندان ایرانی در زمان یزدگرد پادشاه ساسانی,فارسی
شهربانو,249305,šahr bānu,female,ملکه، بانوی شهر، نام یکی از دختران یزدگرد پادشاه ساسانی و همسر حسین(ع),فارسی
شهرخ,105,šah rox,male,شاهرخ,فارسی
شهرداد,276,šahr dād,male,نام قدیم شهر اهواز,فارسی
شهرزاد,25235,šahr zād,female,زاده شهر، نام دختری زیبا که داستانهای هزار و یک شب از زبان او نقل شده است,فارسی
شهرنوش,101,šahr nuš,both,مرکب از شهر+ نوش( عسل) یا نوش از مصدر نوشیدن( نیوشیدن),فارسی
شهره,18328,šohre,female,مشهور، نامدار و نامور,عربی
شهرو,161,,female,نام زنی زیبا در منظومه ویس و رامین، از شخصیتهای شاهنامه، نام موبدی دانا و اداره کننده ایران در زمان کودکی شاپور ذوالاکتاف پادشاه ساسانی,فارسی
شهرود, ,,male,نهر و رودخانه بزرگ، نام سازی,فارسی
شهروز,10451,šah ruz,male,شاه روزگار یا داری بخت و روز شاه، نام سازی، نام شهری که خسروپرویز پادشاه ساسانی بنا کرد,فارسی
شهریار,44182,šahr(i)yār,male,پادشاه، شاه، فرمانروا، حاکم، از شخصیتهای شاهنامه، نام یکی از چهار پسر شیرین و خسروپرویز پادشاه ساسانی,فارسی
شهزاد,2552,šah zād,female,شاهزاده ، فرزند شاه یا از نسل شاه ، عنوانی برای امام زاده ها,فارسی
شهلا,118602,šahlā,female,دارای رنگ سیاه چون رنگ چشم میش، رنگ میشی، زیبا و فریبنده(چشم)، نوعی نرگس که حلقه وسط آن سرخ یا بنفش است,عربی
شهناز,165235,šah nāz,female,موجب فخر و نازش شاه، نام یکی از لحنهای قدیم موسیقی ایرانی، نام یکی از گوشه های موسیقی ایرانی،نام خواهر جمشید پادشاه پیشدادی,فارسی
شهنام,1244,šah nām,male,دارای نام شاهانه,فارسی
شهیار,626,šah yār,male,یاور و کمک کننده شاه، نام یکی از دانشمند زرتشتی در قرن یازدهم یزگردی,فارسی
شهیر, ,,male,معروف ، نام آور ، نامدار,عربی
شهیره,101,šahire,female,بانوی مشهور ، دختر نامدار,عربی
شهین,89827,šahin,female,مرکب از شه( شاه) + ین( پسوند نسبت),فارسی
شوان,438,šo(a)vān,male,گله بان، چوپان,کردی
شورانگیز,1657,šurangiz,female,هیجان انگیز,فارسی
شوکا,458,šukā,female,در گویش مازندران آهو,فارسی
شوکت,73380,šo(w)kat,both,جاه و جلال، عظمت، بزرگی,عربی
شکر, ,,female,ماده بلوری شیرین و سفیدرنگ، زیبارو، نام معشوقه اصفهانی خسروپرویز پادشاه ساسانی در منظومه خسرو و شیرین,سنسکریت
شکرالله,40429,šokrollāh,male,سپاس خد ارا,عربی
شکرانه,803,šokrāne,female,شکر(عربی) + انه(فارسی) شکرگزاری، سپاسگزاری,فارسی-عربی
شکفته,101,šekofte,female,باز شده، شاداب، تازه، خندان,فارسی
شکور,3652,šakur,male,بسیار سپاسگزار، از نامهای خداوند,عربی
شکوفا,129,šo(e)kufā,female,شکفته شده، غنچه ای که باز شده است، رشد یافته,فارسی
شکوفه,57695,šo(e)kufe,female,گل درخشان میوه دار,فارسی
شکوه,7825,šokuh,female,شأن، حشمت، بزرگی، هیبت، وقار,فارسی
شکوه دخت, ,,female,دختر باوقار,فارسی
شکوهنده,101,še(o)kuhande,female,با شکوه، دارنده شکوه و جلال,فارسی
شکوهه,101,šokuhe,female,جمال، زیبایی,فارسی
شکیب,927,ša(e)kib,male,تحمل، بردباری، آرام و صبر,فارسی
شکیبا,11096,ša(e)kibā,female,صبور و بردبار,فارسی
شکیل, ,,male,زیبا ، پسر خوش چهره,عربی
شکیلا,12300,šakilā,female,شکیل(عربی) + ا (فارسی) دارای شکل زیبا,فارسی-عربی
شیبا,1298,šibā,female,شیوا آشفته، پریشان,فارسی
شیث,421,šeys,male,نام سومین پسر آدم و حوا که به عقیده مسلمانان مقام نبوت داشت,عبری
شید, ,,both,نور، روشنایی، آفتاب، خورشید,فارسی
شیدا,54321,šeydā,female,عاشق، شیفته، دلداده,آرامی
شیدرخ,188,šid rox,female,خورشید رخ، زیبا رو، بانویی که چهره اش چون خوشید درخشان است.,فارسی
شیدسب, ,,male,از شخصیتهای شاهنامه، نام پسر گشتاسپ پادشاه کیانی,فارسی
شیده,2082,šide,female,روشنایی، خورشید، از شخصیتهای شاهنامه، نام پسر افراسیاب تورانی,فارسی
شیدوش,101,šidvaš,male,از شخصیتهای شاهنامه، نام دلاوری جنگاور در دربار فریدون پادشاه پیشدادی، نیز نام پسر گودرز پهلوان ایرانی,فارسی
شیران, ,,male,از شخصیتهای شاهنامه، نام یکی از دلاوران ایرانی در زمان خسروپرویز پادشاه ساسانی,فارسی
شیرزاد,15331,šir zād,male,زاده شیر، شجاع، طبق بعضی از نسخه های شاهنامه نام جارچی انوشیروان پادشاه ساسانی,فارسی
شیرو,658,širu,male,از شخصیتهای شاهنامه، و بنا به بعضی از نسخه های شاهنامه، نام یکی از پسران گشتاسپ پادشاه کیانی,فارسی
شیرویه,1165,širuye,male,شکوهمند و صاحب شأن و شوکت، شجاع و دلیر، نام چندتن از شخصیتهای شاهنامه از جمله نام پسر خسروپرویز پادشاه ساسانی,فارسی
شیرین,117560,širin,female,مطبوع، دلنشین، زیبا، عزیز، گرامی، از شخصیتهای شاهنامه، نام همسر خسروپرویز پادشاه ساسانی,فارسی
شیرین بانو, ,,female,بانوی زیبا و دلنشین,فارسی
شیرین جهان, ,,female,مرکب از شیرین( مطبوع، دلنشین) + جهان، نام دختر فتحعلی شاه قاجار,فارسی
شیرین دخت,346,,female,دختر زیبا,فارسی
شیرین گل, ,,female,گل زیبا,فارسی
شیفته,245,šifte,female,عاشق، مجنون، دیوانه، مجذوب,فارسی
شیلا,7837,šilā,female,از نامهای متداول هندی,هندی
شیلان,5125,šilān,female,چیلان، عناب,فارسی
شیلر,396,šiler,female,ناحیه ای مرزی در شمال شرقی عراق در مجاورت استان کردستان ایران,کردی
شیما,62779,šimā,female,زنی که روی چانه اش خال دارد ، زن زیبای عرب، نام دختر حلیمه سعدیه دایه پیامبر(ص),عربی
شینا,2548,šinā,female,شناوری - سعی و کوشش جد وجهد,فارسی
شیناب, ,,female,شینا - شناوری - سعی و کوشش جد وجهد,فارسی
شیوا,66666,šivā,female,فصیح، بلیغ,فارسی
شیوه,242,šive,male,راه روش,فارسی
صائب,1410,sā’eb,male,راست و درست، رسا، رساننده، نام شاعر نامدار قرن یازدهم در دوره صفویه(صائب تبریزی),عربی
صائم, ,,male,روزه گیر، روزه دار,عربی
صابر,46083,sāber,male,صبور، شکیبا، از نامهای خداوند، نام شاعر نامدار قرن ششم، ادیب صابر,عربی
صابره,9408,sābere,female,مؤنث صابر,عربی
صابرین,434,sāberin,female,جمع صابر ، بانوی صبور و شکیبا,عربی
صاحب,4538,sāheb,male,دارنده، مالک، دارا،سرور،همنشین، یار,عربی
صادق,147083,sādeq,male,راستگو،راست و درست، راستین،نام امام امام ششم شیعیان,عربی
صارم,437,sārem,male,شمشیر تیز، قطع کننده، برنده، مرد دلیر، دلاور,عربی
صاعد,101,sāeed,male,بالارونده، صعودکننده، نام یکی از مردان افسانه ای عرب باستان,عربی
صالح,66030,sāleh,male,شایسته و درستکار، نیک، خوب، دارای اعتقاد و عمل درست دینی، نام پیامبر قوم ثمود,عربی
صالحه,15955,sālehe,female,مؤنث صالح، شایسته و درستکار، نیک، خوب، دارای اعتقاد و عمل درست دینی,عربی
صانع,200,sānee,male,آفریننده ، صنعتگر، همچنین یکی از نام های خداوند نیز صانع می باشد,عربی
صاین, ,sāyen,male,صائن، محافظ، نگاه دارنده,عربی
صبا,59436,sabā,female,نسیم ملایمی که از طرف شمال شرق می وزد، پیام رسان میان عاشق و معشوق، نام یکی از شعب بیست و چهارگانه موسیقی قدیم، نام موسیقیدان معروف موسیقی قدیم، نام موسیقیدان معروف ایران,عربی
صباح,3667,sabāh,male,بامداد، صبح‎ ‎‏ ، روز، نام دعائی منسوب به علی(ع),عربی
صبرینه,101,sabrine,female,صبر(عربی) + ینه(فارسی) نام گیاهی است,عربی-فارسی
صبریه,9668,sabriye,female,بردبار، شکیبا,عربی
صحرا,2678,,female,بیابان ، میدان جنگ ، دشت هموار,عربی
صدا, ,,female,انعکاس صوت، پژواک,عربی
صداقت,355,se(a)dāqat,both,راستی و درستی، دوستی,عربی
صدر,761,sadr,male,بالاترین ، اعلاترین در هر چیز,عربی
